filename,PSNR,SSIM,MSE
3919.jpg,27.0079,0.9218,0.001992
3921.jpg,24.3476,0.9287,0.003675
3922.jpg,22.7259,0.8788,0.005338
3927.jpg,17.6871,0.7843,0.017033
3928.jpg,26.6882,0.9160,0.002144
3930.jpg,24.7926,0.9402,0.003317
3932.jpg,30.5867,0.9758,0.000874
3946.jpg,26.3038,0.9638,0.002342
3949.jpg,22.2729,0.9461,0.005925
395.jpg,29.6780,0.9586,0.001077
3955.jpg,22.1135,0.9084,0.006147
3960.jpg,21.0834,0.8782,0.007792
3962.jpg,18.6093,0.8588,0.013774
3966.jpg,24.9582,0.9568,0.003193
397.jpg,18.2676,0.8462,0.014902
3971.jpg,25.4350,0.9419,0.002861
3981.jpg,15.4386,0.6382,0.028585
3983.jpg,22.1550,0.8292,0.006088
3984.jpg,27.3130,0.9663,0.001857
3985.jpg,27.8788,0.9329,0.001630
3986.jpg,26.3395,0.9658,0.002323
3995.jpg,28.2119,0.9432,0.001509
4.jpg,25.3740,0.9549,0.002901
4008.jpg,26.8151,0.9607,0.002082
4030.jpg,22.7852,0.9140,0.005266
4031.jpg,20.7107,0.9244,0.008490
4039.jpg,25.2627,0.9166,0.002977
404.jpg,26.1972,0.9389,0.002400
4043.jpg,29.8465,0.9604,0.001036
4045.jpg,25.4970,0.9435,0.002820
4050.jpg,29.1442,0.9547,0.001218
4052.jpg,18.2165,0.8623,0.015078
4062.jpg,26.1699,0.9109,0.002416
4063.jpg,19.1646,0.7668,0.012121
4066.jpg,25.3635,0.9284,0.002908
4073.jpg,15.9520,0.8247,0.025398
4076.jpg,24.5755,0.9437,0.003487
4077.jpg,24.8881,0.9601,0.003245
4081.jpg,20.8500,0.8384,0.008222
4092.jpg,14.3040,0.8666,0.037119
4093.jpg,23.2212,0.9403,0.004763
4094.jpg,28.6488,0.9398,0.001365
4101.jpg,30.9233,0.9481,0.000808
411.jpg,21.1684,0.8872,0.007641
4111.jpg,23.5433,0.9339,0.004423
4118.jpg,28.0341,0.9641,0.001573
412.jpg,24.5388,0.8878,0.003517
4128.jpg,21.2741,0.9153,0.007457
4131.jpg,20.6282,0.8558,0.008653
4134.jpg,22.7534,0.9209,0.005305
414.jpg,26.6457,0.9541,0.002165
4140.jpg,23.1603,0.8798,0.004830
4142.jpg,26.1526,0.9344,0.002425
415.jpg,23.9012,0.9677,0.004073
4152.jpg,23.0470,0.9420,0.004958
4158.jpg,18.3502,0.8223,0.014621
4160.jpg,21.3348,0.8782,0.007354
4161.jpg,27.6034,0.9517,0.001736
4162.jpg,24.3007,0.9225,0.003715
4163.jpg,22.5026,0.8826,0.005620
4165.jpg,27.9469,0.9364,0.001604
4170.jpg,26.3405,0.9388,0.002322
4173.jpg,22.9362,0.8862,0.005086
4175.jpg,26.1554,0.9500,0.002424
4184.jpg,23.7124,0.9199,0.004254
4187.jpg,23.7129,0.9195,0.004253
4194.jpg,22.0646,0.8056,0.006216
4196.jpg,25.3703,0.8965,0.002904
4200.jpg,23.8935,0.9166,0.004080
421.jpg,25.8792,0.9769,0.002583
4211.jpg,25.1311,0.9368,0.003068
4214.jpg,28.0560,0.9623,0.001565
4219.jpg,27.4335,0.8846,0.001806
4223.jpg,19.4243,0.8456,0.011417
4227.jpg,20.3225,0.8848,0.009284
423.jpg,26.2837,0.9398,0.002353
4243.jpg,24.2892,0.9068,0.003725
4256.jpg,20.7680,0.9428,0.008379
4262.jpg,25.3248,0.9319,0.002934
4265.jpg,25.3863,0.9585,0.002893
4269.jpg,25.3498,0.9201,0.002918
4270.jpg,28.0896,0.9328,0.001553
4274.jpg,25.9352,0.9550,0.002550
4275.jpg,22.6254,0.9198,0.005463
428.jpg,22.6352,0.9207,0.005451
4286.jpg,25.7871,0.9224,0.002638
4291.jpg,23.3626,0.9437,0.004610
4299.jpg,28.8694,0.9488,0.001297
43.jpg,24.1212,0.8883,0.003872
4301.jpg,27.6242,0.9424,0.001728
4302.jpg,23.4420,0.8772,0.004527
4303.jpg,22.4084,0.9340,0.005743
4315.jpg,26.2456,0.8595,0.002374
4317.jpg,23.9424,0.9227,0.004034
4318.jpg,27.6784,0.9613,0.001707
4325.jpg,23.5428,0.9322,0.004423
433.jpg,30.0777,0.9254,0.000982
4334.jpg,23.0512,0.8446,0.004953
4337.jpg,19.5796,0.7723,0.011017
4341.jpg,28.0514,0.9518,0.001566
435.jpg,20.7129,0.9278,0.008486
4354.jpg,26.9957,0.9180,0.001997
4358.jpg,26.2498,0.9426,0.002371
437.jpg,26.5055,0.9503,0.002236
4371.jpg,20.0246,0.8399,0.009943
4378.jpg,25.5688,0.8706,0.002774
4380.jpg,27.7493,0.9464,0.001679
4381.jpg,23.5547,0.9026,0.004411
439.jpg,21.1849,0.8643,0.007612
4390.jpg,25.3738,0.9514,0.002901
4391.jpg,17.9061,0.8810,0.016195
4396.jpg,26.0866,0.9318,0.002462
4401.jpg,25.7208,0.9491,0.002679
4416.jpg,24.7769,0.9257,0.003329
4420.jpg,15.1294,0.8322,0.030695
4423.jpg,14.6697,0.8099,0.034121
4437.jpg,25.2065,0.9372,0.003015
4447.jpg,24.7231,0.9072,0.003370
4449.jpg,24.3221,0.9224,0.003697
4455.jpg,24.9157,0.9322,0.003224
4456.jpg,24.8972,0.9462,0.003238
4463.jpg,24.3093,0.9248,0.003707
4466.jpg,22.2470,0.9110,0.005961
4472.jpg,21.0506,0.9247,0.007851
4477.jpg,19.7598,0.9321,0.010569
4486.jpg,26.7869,0.9131,0.002096
4497.jpg,29.3946,0.9544,0.001150
4502.jpg,23.1631,0.9057,0.004827
4505.jpg,27.7951,0.9518,0.001661
4517.jpg,24.0564,0.9168,0.003930
452.jpg,28.0448,0.9503,0.001569
4521.jpg,22.3321,0.9322,0.005845
